Date,Search
2008-01,44
2008-02,43
2008-03,48
2008-04,57
2008-05,66
2008-06,86
2008-07,83
2008-08,66
2008-09,49
2008-10,36
2008-11,32
2008-12,27
2009-01,43
2009-02,43
2009-03,48
2009-04,53
2009-05,62
2009-06,76
2009-07,82
2009-08,69
2009-09,53
2009-10,42
2009-11,34
2009-12,33
2010-01,50
2010-02,51
2010-03,56
2010-04,60
2010-05,69
2010-06,77
2010-07,78
2010-08,67
2010-09,52
2010-10,42
2010-11,32
2010-12,29
2011-01,48
2011-02,44
2011-03,45
2011-04,52
2011-05,58
2011-06,65
2011-07,74
2011-08,64
2011-09,54
2011-10,44
2011-11,30
2011-12,29
2012-01,41
2012-02,39
2012-03,43
2012-04,48
2012-05,56
2012-06,66
2012-07,72
2012-08,60
2012-09,48
2012-10,39
2012-11,29
2012-12,27
2013-01,42
2013-02,42
2013-03,46
2013-04,50
2013-05,58
2013-06,69
2013-07,61
2013-08,58
2013-09,48
2013-10,36
2013-11,28
2013-12,28
2014-01,43
2014-02,40
2014-03,43
2014-04,46
2014-05,57
2014-06,62
2014-07,68
2014-08,61
2014-09,48
2014-10,39
2014-11,28
2014-12,27
2015-01,40
2015-02,40
2015-03,42
2015-04,47
2015-05,54
2015-06,63
2015-07,77
2015-08,60
2015-09,47
2015-10,40
2015-11,39
2015-12,29
2016-01,33
2016-02,34
2016-03,35
2016-04,35
2016-05,41
2016-06,62
2016-07,100
2016-08,50
2016-09,36
2016-10,33
2016-11,28
2016-12,29
2017-01,32
2017-02,30
2017-03,42
2017-04,49
2017-05,50
2017-06,61
2017-07,72
2017-08,58
2017-09,47
2017-10,38
2017-11,30
2017-12,29
2018-01,45
2018-02,43
2018-03,48
2018-04,50
2018-05,57
2018-06,66
2018-07,71
2018-08,69
2018-09,53
2018-10,44
2018-11,34
2018-12,35
2019-01,45
2019-02,43
2019-03,46
2019-04,52
2019-05,63
2019-06,75
2019-07,77
2019-08,70
2019-09,62
2019-10,58
2019-11,40
2019-12,37
2020-01,51
2020-02,48
2020-03,46
2020-04,29
2020-05,29
2020-06,40
2020-07,47
2020-08,51
2020-09,45
2020-10,39
2020-11,28
2020-12,27
2021-01,29
2021-02,29
2021-03,35
2021-04,39
2021-05,43
2021-06,67
2021-07,75
2021-08,68
2021-09,54
2021-10,45
2021-11,37
2021-12,34
